DepNum,ParentDepNum,DepName,DepLevel,RecFlag,FullPath
1,0,测试,1,1,测试
2,0,安全管理部,1,0,安全管理部
3,0,办公室,1,0,办公室
4,0,财务部,1,0,财务部
5,0,营销中心,1,1,营销中心
6,0,党建工作部,1,0,党建工作部
7,0,服务中心,1,0,服务中心
8,0,公司领导,1,0,公司领导
9,0,规范管理办公室,1,0,规范管理办公室
10,0,国际业务部,1,0,国际业务部
11,0,纪检监察部,1,0,纪检监察部
12,0,技术中心领导,1,0,技术中心领导
13,0,产品研发室,1,0,产品研发室
14,0,品牌研究室,1,0,品牌研究室
15,0,原料研究室,1,0,原料研究室
16,0,工艺装备室,1,0,工艺装备室
17,0,质量控制室,1,0,质量控制室
18,0,检测分析室,1,0,检测分析室
19,0,科技管理室,1,0,科技管理室
20,0,办公室技术中心,1,0,办公室技术中心
21,0,企管部,1,0,企管部
22,0,群团工作部,1,0,群团工作部
23,0,原料部,1,0,原料部
24,0,人力资源部,1,0,人力资源部
25,0,审计部,1,0,审计部
26,0,投资部,1,0,投资部
27,0,物流中心,1,0,物流中心
28,0,共享物业,1,1,共享物业
29,0,物资采购部,1,0,物资采购部
30,0,信息中心,1,0,信息中心
31,0,巡察办,1,0,巡察办
32,0,制造部,1,0,制造部
33,0,安徽中烟,1,0,安徽中烟
34,33,1,2,0,安徽中烟\1
35,0,本部,1,1,本部
36,0,技术中心,1,1,技术中心
37,35,安全管理部,2,1,本部\安全管理部
38,35,办公室,2,1,本部\办公室
39,35,财务部,2,1,本部\财务部
41,35,党建工作部,2,1,本部\党建工作部
42,35,服务中心,2,1,本部\服务中心
43,35,公司领导,2,1,本部\公司领导
44,35,规范管理办公室,2,1,本部\规范管理办公室
45,35,国际业务部,2,1,本部\国际业务部
46,35,纪检监察部,2,1,本部\纪检监察部
47,36,技术中心领导,2,1,技术中心\技术中心领导
48,36,产品研发室,2,1,技术中心\产品研发室
49,36,品牌研究室,2,1,技术中心\品牌研究室
50,36,原料研究室,2,1,技术中心\原料研究室
51,36,工艺装备室,2,1,技术中心\工艺装备室
52,36,质量控制室,2,1,技术中心\质量控制室
53,36,检测分析室,2,1,技术中心\检测分析室
54,36,科技管理室,2,1,技术中心\科技管理室
55,36,办公室技术中心,2,1,技术中心\办公室技术中心
56,35,企管部,2,1,本部\企管部
57,35,群团工作部,2,1,本部\群团工作部
58,35,原料部,2,1,本部\原料部
59,35,人力资源部,2,1,本部\人力资源部
60,35,审计部,2,1,本部\审计部
61,35,投资部,2,1,本部\投资部
62,35,物流中心,2,1,本部\物流中心
64,35,物资采购部,2,1,本部\物资采购部
65,35,信息中心,2,1,本部\信息中心
66,35,巡察办,2,1,本部\巡察办
67,35,制造部,2,1,本部\制造部
